variant,density,id,task_list,limit,last_executed_timepoint,result
default,1,0,"['order_lettuce_salad(client1)@delay=0@deadline=111', 'order_lettuce_salad(client2)@delay=157@deadline=278', 'order_lettuce_tomato_salad(client3)@delay=310@deadline=514', 'order_lettuce_salad(client4)@delay=588@deadline=775', 'order_lettuce_salad(client5)@delay=830@deadline=1011']",1011,936,Success
default,2,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=280', 'order_lettuce_tomato_salad(client2)@delay=69@deadline=332', 'order_lettuce_tomato_salad(client3)@delay=284@deadline=441', 'order_lettuce_tomato_salad(client4)@delay=391@deadline=622', 'order_lettuce_tomato_salad(client5)@delay=495@deadline=779']",779,280,Timeout
default,3,0,"['order_lettuce_salad(client1)@delay=0@deadline=171', 'order_lettuce_salad(client2)@delay=30@deadline=159', 'order_lettuce_salad(client3)@delay=22@deadline=163', 'order_lettuce_salad(client4)@delay=188@deadline=353', 'order_lettuce_tomato_salad(client5)@delay=224@deadline=517']",517,20,Failure
default,4,0,"['order_lettuce_salad(client1)@delay=0@deadline=157', 'order_lettuce_tomato_salad(client2)@delay=94@deadline=378', 'order_lettuce_tomato_salad(client3)@delay=75@deadline=315', 'order_lettuce_tomato_salad(client4)@delay=57@deadline=248', 'order_lettuce_tomato_salad(client5)@delay=248@deadline=516']",516,66,Timeout
robust-second,1,0,"['order_lettuce_salad(client1)@delay=0@deadline=111', 'order_lettuce_salad(client2)@delay=157@deadline=278', 'order_lettuce_tomato_salad(client3)@delay=310@deadline=514', 'order_lettuce_salad(client4)@delay=588@deadline=775', 'order_lettuce_salad(client5)@delay=830@deadline=1011']",1011,259,Timeout
robust-second,2,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=280', 'order_lettuce_tomato_salad(client2)@delay=69@deadline=332', 'order_lettuce_tomato_salad(client3)@delay=284@deadline=441', 'order_lettuce_tomato_salad(client4)@delay=391@deadline=622', 'order_lettuce_tomato_salad(client5)@delay=495@deadline=779']",779,60,Timeout
robust-second,3,0,"['order_lettuce_salad(client1)@delay=0@deadline=171', 'order_lettuce_salad(client2)@delay=30@deadline=159', 'order_lettuce_salad(client3)@delay=22@deadline=163', 'order_lettuce_salad(client4)@delay=188@deadline=353', 'order_lettuce_tomato_salad(client5)@delay=224@deadline=517']",517,30,Timeout
robust-second,4,0,"['order_lettuce_salad(client1)@delay=0@deadline=157', 'order_lettuce_tomato_salad(client2)@delay=94@deadline=378', 'order_lettuce_tomato_salad(client3)@delay=75@deadline=315', 'order_lettuce_tomato_salad(client4)@delay=57@deadline=248', 'order_lettuce_tomato_salad(client5)@delay=248@deadline=516']",516,0,Timeout
robust-third,1,0,"['order_lettuce_salad(client1)@delay=0@deadline=111', 'order_lettuce_salad(client2)@delay=157@deadline=278', 'order_lettuce_tomato_salad(client3)@delay=310@deadline=514', 'order_lettuce_salad(client4)@delay=588@deadline=775', 'order_lettuce_salad(client5)@delay=830@deadline=1011']",1011,936,Success
robust-third,2,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=280', 'order_lettuce_tomato_salad(client2)@delay=69@deadline=332', 'order_lettuce_tomato_salad(client3)@delay=284@deadline=441', 'order_lettuce_tomato_salad(client4)@delay=391@deadline=622', 'order_lettuce_tomato_salad(client5)@delay=495@deadline=779']",779,275,Timeout
robust-third,3,0,"['order_lettuce_salad(client1)@delay=0@deadline=171', 'order_lettuce_salad(client2)@delay=30@deadline=159', 'order_lettuce_salad(client3)@delay=22@deadline=163', 'order_lettuce_salad(client4)@delay=188@deadline=353', 'order_lettuce_tomato_salad(client5)@delay=224@deadline=517']",517,20,Timeout
robust-third,4,0,"['order_lettuce_salad(client1)@delay=0@deadline=157', 'order_lettuce_tomato_salad(client2)@delay=94@deadline=378', 'order_lettuce_tomato_salad(client3)@delay=75@deadline=315', 'order_lettuce_tomato_salad(client4)@delay=57@deadline=248', 'order_lettuce_tomato_salad(client5)@delay=248@deadline=516']",516,75,Timeout
