iter, runtime, planning-time, anml-file, opened-states, generated-states, fast-forwarded, sol-depth, makespan, flaw-sel, plan-sel, reachability, fast-forward, ae
0, TIMEOUT, 1000.076, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 4926, 5098, 28880, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
0, TIMEOUT, 1000.045, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 36143, 36205, 213712, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
0, 12.247, 12.244, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 119, 342, 55, 118, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
1, TIMEOUT, 1000.08, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 4627, 4797, 26791, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
1, TIMEOUT, 1000.006, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 39303, 39371, 231796, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
1, 11.527, 11.524, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 119, 342, 55, 118, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
2, TIMEOUT, 1000.112, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 5280, 5467, 30343, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
2, TIMEOUT, 1000.052, problem/anml/overcooked-hier-dur.tutorial-salads.pb.anml, 39332, 39400, 231673, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
2, 12.109, 12.106, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 55, 119, 342, 55, 118, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
3, TIMEOUT, 1000.076, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 5469, 5656, 31899, -, -, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
